Region|Area|Sales Area|Cluster|Micro Cluster|MPC Code|SPV Code|SPV Name|CSO Code|CSO Name|PJP Plan Id|PJP Plan name|PJP start date|PJP end date|PJP created by|PJP creation date|PJP Frequency|PJP Modify Date|PJP Status|Outlet Code|Plan Date|Plan Day
Central and West Java|||||12389724||||||||||||||51155||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||GOUT001||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||GOUT002||
REGIONAL-HR|AREA-HR||||89710|||MP-CANV01|||||||||||61873681||
REGIONAL-HR|AREA-HR||||89710||||||||||||||1312121||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||TestOutlet1||
Central and West Java|CENTRAL JAVA1|KUDUS|||testdlra1||||||||||||||NKOUTLET||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|SAT10||||||||||||||TestOut002||
Central and West Java|CENTRAL JAVA1|KUDUS|||dsafd|||canvsanjeev|||||||||||Test0ut03||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||ARISTOOUTLET||
Central and West Java|CENTRAL JAVA1|KUDUS|||VEN407||||||||||||||TOUTLET||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||testoutlet||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||testo1||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||outlet02||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||outlet03||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||outlwt101||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||outlet102||
Central and West Java|CENTRAL JAVA1|KUDUS|||ARISTODEALER||||||||||||||outlet103||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|ARISTODEALER||||||||||||||testout101||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|ARISTODEALER||||||||||||||testout102||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA|CW-CJA-KUDEPARA-MC DS|SAT10||||||||||||||TOUTSMC01||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046568||
Central and West Java|CENTRAL JAVA1|KUDUS|||vdealer|||vcanvasser1|||||||||||voutlet||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046569||
Central and West Java|CENTRAL JAVA1|KUDUS|||vdealer||||||||||||||voutlet2||
Central and West Java|WEST JAVA|BANDUNG INNER|||dlrOrg90||||||||||||||dlr90out||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|ARISTODEALER||||||||||||||outlet1001||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046575||
Central and West Java|CENTRAL JAVA1|KUDUS|||vdealer||||||||||||||voutlet3||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046579||
REGIONAL-HR|AREA-HR|MATARAM|GAL-MATARAM||SAT10||||||||||||||outlet001||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||tout0010||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046587||
Central and West Java|CENTRAL JAVA1|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM|GD001||||||||||||||Test092019||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046589||
Central and West Java|CENTRAL JAVA1|KUDUS|CW-CJA-BLOREMPATIGRO||GD001||||||||||||||Test112019||
Central and West Java|||||0708||||||||||||||3583||
Central and West Java|||||0708||||||||||||||34||
Central and West Java|CENTRAL JAVA1|KUDUS|||vdealer||||||||||||||outlet1033||
Central and West Java|CENTRAL JAVA1|KUDUS|||vdealer||||||||||||||outlet104||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||TOut122019||
Central and West Java|||||0708||||||||||||||501||
Central and West Java|||||0708||||||||||||||5743||
Central and West Java|||||0708||||||||||||||58843||
Central and West Java|||||0708||||||||||||||35343||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||007||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||0008||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||0808||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||7890||
Central and West Java|CENTRAL JAVA1|KUDUS|||GD001||||||||||||||17046593||
Central and West Java|CENTRAL JAVA1|KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||17046594||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||outlet0099||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001|GiriSPCAN||GCAN001|||||||||||outlet0998||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||outletSync||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||outletSTrue||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001|GiriSPCAN||GCAN001|||||||||||NMOB02||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||ot2222||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001|GiriSPCAN||GCAN001|||||||||||out7777||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001|GiriSPCAN||GCAN001|||||||||||testOut7777||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||nonMobo10||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||dfweewf||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||mobo20||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||NonMoboOut||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||SAT10||||||||||||||NONMoboOu029||
Central and West Java|CENTRAL JAVA1|New-KUDUS|CW-CJA-KUDEPARA||GD001||||||||||||||FailMNOut||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|ARISTODEALER|ARISTOSUPCAN||ARISTOCAN3|||||||||||aristootsix||
Central and West Java|CENTRAL JAVA1|ASIA AFRIKA|CW-CJA-BLOREMPATIGRO|MC-BLOREM|ARISTODEALER|ARISTOSUPCAN||ARISTOCAN3|||||||||||aristootsn||
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet1|01-02-2020|Saturday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet1|03-02-2020|Monday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet1|04-02-2020|Tuesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|21-01-2020|||180|MoboOutlet1|05-02-2020|Wednesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|22-01-2020|||180|MoboOutlet1|06-02-2020|Thursday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90037||||277330|20-01-2020|||180|MoboOutlet1|01-02-2020|Saturday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90037||||277330|20-01-2020|||180|MoboOutlet1|03-02-2020|Monday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90037||||277330|20-01-2020|||180|MoboOutlet1|04-02-2020|Tuesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90037||||277330|21-01-2020|||180|MoboOutlet1|05-02-2020|Wednesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90037||||277330|22-01-2020|||180|MoboOutlet1|06-02-2020|Thursday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet2|01-02-2020|Saturday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet2|03-02-2020|Monday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|20-01-2020|||180|MoboOutlet2|04-02-2020|Tuesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|21-01-2020|||180|MoboOutlet2|05-02-2020|Wednesday
Central and West Java|CENTRAL JAVA1|New-KUDUS|sukus||STATUSONE|USERONE||CANVASSERONE||90036||||277330|22-01-2020|||180|MoboOutlet2|06-02-2020|Thursday
