Region|Area|Sales Area|Cluster|Micro Cluster|MPC Code|SPV Code|SPV Name|CSO Code|CSO Name|PJP Plan Id|PJP Plan name|PJP start date|PJP end date|PJP created by|PJP creation date|PJP Frequency|PJP Modify Date|PJP Status|Outlet Code|Plan Date|Plan Day
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|01-02-2020|Saturday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|03-02-2020|Monday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|04-02-2020|Tuesday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|05-02-2020|Wednesday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|06-02-2020|Thursday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|07-02-2020|Friday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|08-02-2020|Saturday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|10-02-2020|Monday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|11-02-2020|Tuesday
Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|Bangalore Micro Cluster|HD001|||||3548|NEWJP001|15-04-2019|15-04-2020|30001|15-04-2019|Daily|12-02-2020|Active|17000021|12-02-2020|Wednesday
